"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Coastline Visa","","28/04/2026","Transit NSW","Mobility: Rail Commute","Mobility","Rail Commute","Tap fare","$11.20","$0.00","Cleared"
"Coastline Visa","","29/04/2026","Cafe Ember","Leisure: Dining Out","Leisure","Dining Out","Weekend brunch","$29.70","$0.00","Cleared"
"Everyday Checking","","01/05/2026","Acme Payroll","Inflow: Ready to Assign","Inflow","Ready to Assign","Monthly salary","$0.00","$6,920.00","Reconciled"
"Everyday Checking","","02/05/2026","Transfer : Metro Loan","","","","Loan repayment transfer","$420.00","$0.00","Reconciled"
"Metro Loan","","02/05/2026","Transfer : Everyday Checking","","","","Loan repayment transfer","$0.00","$420.00","Reconciled"
"Everyday Checking","","03/05/2026","Transfer : Coastline Visa","","","","Credit card payment","$680.00","$0.00","Reconciled"
"Coastline Visa","","03/05/2026","Transfer : Everyday Checking","","","","Credit card payment","$0.00","$680.00","Reconciled"
"Coastline Visa","","04/05/2026","FreshMart","Essentials: Market Groceries","Essentials","Market Groceries","Weekly groceries","$164.92","$0.00","Cleared"
"Coastline Visa","","05/05/2026","Corner Bean","Essentials: Morning Coffee","Essentials","Morning Coffee","Latte","$5.80","$0.00","Cleared"
"Everyday Checking","","05/05/2026","Northline Rentals","Home Base: Apartment Rent","Home Base","Apartment Rent","May rent","$2,310.00","$0.00","Reconciled"
"Coastline Visa","","06/05/2026","QuickBites","Essentials: Team Lunches","Essentials","Team Lunches","Office lunch","$26.30","$0.00","Cleared"
"Everyday Checking","","07/05/2026","Grid Energy","Home Base: Electricity","Home Base","Electricity","Electricity bill","$121.30","$0.00","Cleared"
"Everyday Checking","","08/05/2026","FiberNet","Home Base: Internet","Home Base","Internet","Broadband plan","$82.00","$0.00","Cleared"
"Coastline Visa","","09/05/2026","Transit NSW","Mobility: Rail Commute","Mobility","Rail Commute","Tap fare","$12.40","$0.00","Cleared"
"Coastline Visa","","10/05/2026","Transit NSW","Mobility: Rail Commute","Mobility","Rail Commute","Tap fare","$9.95","$0.00","Cleared"
"Everyday Checking","","11/05/2026","KinderHub","Family Life: Childcare","Family Life","Childcare","Weekly childcare","$392.00","$0.00","Cleared"
"Coastline Visa","","12/05/2026","EduPlay Club","Family Life: School Clubs","Family Life","School Clubs","Activity supplies","$48.20","$0.00","Cleared"
"Coastline Visa","","13/05/2026","FuelPoint","Mobility: Car Fuel","Mobility","Car Fuel","Petrol","$74.30","$0.00","Cleared"
"Coastline Visa","","14/05/2026","Medicor Pharmacy","Health: Pharmacy","Health","Pharmacy","Cold medication","$29.10","$0.00","Cleared"
"Coastline Visa","","15/05/2026","Shield Health","Health: Health Cover","Health","Health Cover","Insurance premium","$265.40","$0.00","Reconciled"
"Coastline Visa","","16/05/2026","Noodle Spot","Leisure: Dining Out","Leisure","Dining Out","Family dinner","$51.25","$0.00","Cleared"
"Coastline Visa","","17/05/2026","StreamBox","Leisure: Streaming Bundle","Leisure","Streaming Bundle","Monthly subscription","$18.99","$0.00","Reconciled"
"Everyday Checking","","18/05/2026","City Pantry","Essentials: Market Groceries","Essentials","Market Groceries","Mid-week groceries","$91.12","$0.00","Cleared"
"Everyday Checking","","19/05/2026","Transfer : Rainy Day Saver","","","","Monthly savings transfer","$520.00","$0.00","Reconciled"
"Rainy Day Saver","","19/05/2026","Transfer : Everyday Checking","","","","Monthly savings transfer","$0.00","$520.00","Reconciled"
"Everyday Checking","","20/05/2026","Metro Loan Services","Finance: Personal Loan Installment","Finance","Personal Loan Installment","Scheduled loan payment","$420.00","$0.00","Reconciled"
"Coastline Visa","","21/05/2026","Bank Interest","Finance: Card Interest","Finance","Card Interest","Monthly card interest","$9.84","$0.00","Reconciled"
"Everyday Checking","","22/05/2026","Community Kitchen","Giving: Local Donation","Giving","Local Donation","Community support","$42.00","$0.00","Cleared"
"Everyday Checking","","23/05/2026","Adventure Fund","Goals: Vacation Savings","Goals","Vacation Savings","Trip sinking fund","$160.00","$0.00","Cleared"
"Everyday Checking","","24/05/2026","Safety Fund","Goals: Emergency Buffer","Goals","Emergency Buffer","Emergency top-up","$220.00","$0.00","Cleared"
"Coastline Visa","","25/05/2026","QuickBites","Essentials: Team Lunches","Essentials","Team Lunches","Lunch combo","$19.55","$0.00","Cleared"
"Coastline Visa","","27/05/2026","FreshMart","Essentials: Market Groceries","Essentials","Market Groceries","Top-up groceries","$73.47","$0.00","Cleared"
"Coastline Visa","","28/05/2026","Transit NSW","Mobility: Rail Commute","Mobility","Rail Commute","Tap fare","$11.60","$0.00","Cleared"
"Coastline Visa","","29/05/2026","Cafe Ember","Leisure: Dining Out","Leisure","Dining Out","Weekend brunch","$34.90","$0.00","Cleared"
"Coastline Visa","","30/05/2026","FreshMart","Essentials: Market Groceries","Essentials","Market Groceries","Refund for overcharge","$0.00","$14.25","Cleared"
